lga_code_2016, lga_name16, mean_aud_2014_15
10050,Albury,53775
10130,Armidale Regional,49109
10250,Ballina,49223
10300,Balranald,47217
10470,Bathurst Regional,55531
10550,Bega Valley,44529
10600,Bellingen,42499
10650,Berrigan,46733
10750,Blacktown,54326
10800,Bland,51664
10850,Blayney,54570
10900,Blue Mountains,57743
10950,Bogan,61931
11100,Botany Bay,58533
11150,Bourke,52853
11200,Brewarrina,43150
11250,Broken Hill,55425
13910,Hilltops,48290
14000,Hornsby,68940
14100,Hunters Hill,132053
14170,Inner West,77873
14200,Inverell,43391
14300,Junee,50253
14350,Kempsey,41076
14400,Kiama,58873
14500,Ku-ring-gai,103457
14550,Kyogle,37472
14600,Lachlan,52764
14650,Lake Macquarie,56997
14700,Lane Cove,103108
14750,Leeton,47861
14850,Lismore,45428
14870,Lithgow ,55541
14900,Liverpool,54133
14920,Liverpool Plains,46470
14950,Lockhart,50853
15050,Maitland,59998
15240,Mid-Coast,42791
15270,Mid-Western Regional,54383
15300,Moree Plains,54412
15350,Mosman,155330
15520,Murray River,48105
15560,Murrumbidgee,50345
15650,Muswellbrook,67582
15700,Nambucca,40841
15750,Narrabri,52265
15800,Narrandera,46586
15850,Narromine,48033
15900,Newcastle,61706
15950,North Sydney,103974
15990,Northern Beaches,82042
16100,Oberon,51316
16150,Orange,58150
16200,Parkes,51096
16260,Parramatta,58413
16350,Penrith,56654
12730,Edward River,49165
12750,Eurobodalla,42991
12850,Fairfield,47282
12870,Federation,48996
12900,Forbes,50226
12930,Georges River,58741
12950,Gilgandra,43633
13010,Glen Innes Severn,37112
13310,Goulburn Mulwaree,52580
13340,Greater Hume Shire,50249
13450,Griffith,50382
13510,Gundagai,50129
13550,Gunnedah,55464
13660,Gwydir,41095
13800,Hawkesbury,57847
13850,Hay,47720
11300,Burwood,54861
11350,Byron,46976
11400,Cabonne,54868
11450,Camden,62301
11500,Campbelltown,52218
11520,Canada Bay,76384
11570,Canterbury-Bankstown,50036
11600,Carrathool,53296
11650,Central Coast,53716
11700,Central Darling,61023
11720,Cessnock,55981
11730,Clarence Valley,41650
11750,Cobar,70301
11800,Coffs Harbour,47881
12000,Coolamon,50277
12150,Coonamble,46026
12350,Cowra,44766
12380,Cumberland,47721
12700,Dungog,50845
16380,Port Macquarie-Hastings,47521
16400,Port Stephens,52417
16490,Queanbeyan-Palerang Regional,67349
16550,Randwick,78050
16610,Richmond Valley,42158
16650,Rockdale,55121
16700,Ryde,64107
16900,Shellharbour,55187
16950,Shoalhaven,47013
17000,Singleton,71199
17040,Snowy Monaro Regional,49787
17080,Snowy Valleys,51707
17420,The Hills Shire,72369
17550,Tweed,47891
17620,Upper Hunter Shire,67341
17640,Upper Lachlan Shire,48256
17650,Uralla,43863
17750,Wagga Wagga,55994
17850,Walcha,42329
17900,Walgett,28822
17950,Warren,60388
18020,Warrumbungle Shire,43928
18050,Waverley,94547
18100,Weddin,46851
18200,Wentworth,48237
18230,Western Plains Regional,52633
18250,Willoughby,94975
18350,Wingecarribee,57916
18400,Wollondilly,60237
18450,Wollongong,59054
18500,Woollahra,151234
18710,Yass Valley,64360
19399,Unincorporated NSW,50429
17310,Tamworth Regional,49994
17350,Temora,47099
17400,Tenterfield,34724
17100,Strathfield,63561
17150,Sutherland Shire,69165
17200,Sydney,77840
