area_code,lga_name,ovrwgt_p_1_count
10050,lbury,9782.043357999999
10110,rmidale dumaresq,4358.4862600000015
10150,shfield,5924.319989
10200,uburn,10844.0096
10250,allina,8408.721721
10300,alranald,494.34164979999997
10350,ankstown,34396.22838
10470,athurst regional,7539.377265000001
10550,ega valley,7222.040069
10600,ellingen,2674.850296
10650,errigan,1917.971352
10750,lacktown,55540.10212999999
10800,land,1330.05999
10850,layney,1470.448065
10900,lue mountains,13757.43916
10950,ogan,617.5294476
11000,ombala,544.5871827000002
11050,oorowa,529.2429283
11100,otany bay,6849.281956999997
11150,ourke,
11200,rewarrina,
11250,roken hill,4385.780078
11750,obar,1005.268773
11800,offs harbour,14140.415509999999
11860,onargo,355.1503367
12000,oolamon,910.6943922
12050,ooma-monaro,1942.2448789999999
12150,oonamble,861.4722006000003
11300,urwood,4604.962395000001
11350,yron,5830.528657
11400,abonne,2616.9356829999997
11450,amden,10547.69711
11500,ampbelltown,31214.008939999996
11520,anada bay,10789.29873
11550,anterbury,24239.63234
11600,arrathool,553.3377312999999
11700,entral darling,473.1631824
11720,essnock,10999.6077
11730,larence valley,11437.05035
12200,ootamundra,1617.715966
12300,orowa shire,2616.453278
12350,owra,2904.218107
12500,eniliquin,1653.556021
12600,ubbo,8200.613094
12700,ungog,1847.1194460000002
12750,urobodalla,8222.945397
12850,airfield,38904.38119
12900,orbes,2112.53764
12950,ilgandra,1049.703157
13010,len innes severn,1980.862659
13050,loucester,1218.523508
13100,osford,32706.424310000002
13310,oulburn mulwaree,5868.973092
13320,reat lakes,8328.085513
13340,reater hume shire,1900.9347239999997
13380,reater taree,10784.09131
13450,riffith,5030.608111
13500,undagai,808.0794038
13550,unnedah,2683.763465
13650,uyra,944.0078641000001
13660,wydir,1164.5104720000004
13700,arden,792.9670447999997
13800,awkesbury,12275.26518
13850,ay,639.0295529
13950,olroyd,18231.5411
14000,ornsby,21216.03917
14100,unters hill,1648.428692
14150,urstville,12411.94326
14200,nverell,3489.459685000001
14250,erilderie,349.2919341
14300,unee,1298.280902
14350,empsey,6301.091867
14400,iama,3856.44589
14450,ogarah,9261.336048000001
14500,u-ring-gai,10161.62543
14550,yogle,2058.982952
14600,achlan,1490.84609
14650,ake macquarie,39760.468
14700,ane cove,2962.795529
14750,eeton,2300.488307
14800,Leichhardt ,6177.619608
14850,Lismore ,8918.323588
14870,Lithgow ,4537.428483
14900,Liverpool ,35188.42959
14920,Liverpool Plains ,1763.986086
14950,Lockhart ,666.0288047
15050,Maitland ,13506.4405
15150,Manly ,4230.147053
15200,Marrickville ,11706.435370000001
15270,Mid-Western Regional ,4892.469535
15300,Moree Plains ,2884.559872
15350,Mosman ,2783.670276000001
15500,Murray ,1603.32785
15550,Murrumbidgee ,483.3339477
15650,Muswellbrook ,3188.951907
15700,Nambucca ,4478.044602
15750,Narrabri ,2903.207599
15800,Narrandera ,1227.679446
15850,Narromine ,1583.622343
15900,Newcastle ,29133.38185
15950,North Sydney ,6488.0009979999995
16100,Oberon ,1188.381
16150,Orange ,7708.677653
16180,Palerang ,2405.661331
16200,Parkes ,3292.866529
16250,Parramatta ,27482.70783
16350,Penrith ,36274.90901
16370,Pittwater ,9289.024366
16380,Port Macquarie-Hastings ,16225.6424
16400,Port Stephens ,14405.679409999999
16470,Queanbeyan ,7138.054851000001
16550,Randwick ,17110.19402
16610,Richmond Valley ,5045.173766
16650,Rockdale ,17351.25466
16700,Ryde ,13677.47385
16900,Shellharbour ,13660.29107
16950,Shoalhaven ,20474.262169999998
17000,Singleton ,4629.4030219999995
17050,Snowy River ,1429.102292
17350,Temora ,1274.5266800000004
17400,Tenterfield ,1558.370173
17420,The Hills Shire ,26621.93458
17450,Tumbarumba ,786.6777423999997
17500,Tumut Shire ,2469.095089
17550,Tweed ,18215.32345
17620,Upper Hunter Shire ,3137.889366
17640,Upper Lachlan Shire ,1531.324357
17650,Uralla ,1272.863179
17700,Urana ,268.49858989999996
17750,Wagga Wagga ,12049.20278
17800,Wakool ,905.9950206
17850,Walcha ,648.0404587
17900,Walgett ,
17950,Warren ,592.6552155
18000,Warringah ,23118.97886
18020,Warrumbungle Shire ,2270.986389
18050,Waverley ,7388.121034999999
18100,Weddin ,830.80443
18150,Wellington ,1754.855835
18200,Wentworth ,1429.424792
18250,Willoughby ,6441.770766
17100,Strathfield ,4461.265902
17150,Sutherland Shire ,39983.435
17200,Sydney ,20228.43317
17310,Tamworth Regional ,12081.39413
18350,Wingecarribee ,8958.429145999999
18400,Wollondilly ,9000.846285
18450,Wollongong ,37658.169069999996
18500,Woollahra ,5696.139156
18550,Wyong ,33062.2583
18710,Yass Valley ,2757.627875
18750,Young ,2765.057671
19399,Unincorporated NSW,
