lga_code16,lga_name,erp_2016pr
10050, Albury,52165
10130, Armidale Regional,30311
10250, Ballina,42626
10300, Balranald,2310
10470, Bathurst Regional,42389
10550, Bega Valley,33946
10600, Bellingen,12893
10650, Berrigan,8572
10750, Blacktown,347591
10800, Bland,6031
10850, Blayney,7418
10900, Blue Mountains,78705
10950, Bogan,2768
11100, Botany Bay,49058
11150, Bourke,2787
11200, Brewarrina,1725
11250, Broken Hill,18027
13910, Hilltops,18841
14000, Hornsby,147661
14100, Hunters Hill,14638
14170, Inner West,192030
14200, Inverell,16778
14300, Junee,6462
14350, Kempsey,29454
14400, Kiama,22044
14500, Ku-ring-gai,123143
14550, Kyogle,9072
14600, Lachlan,6352
14650, Lake Macquarie,202847
14700, Lane Cove,37810
14750, Leeton,11418
14850, Lismore,44054
14870, Lithgow,21524
14900, Liverpool,212232
14920, Liverpool Plains,7874
14950, Lockhart,3182
15050, Maitland,79340
15240, Mid-Coast,91958
15270, Mid-Western Regional,24569
15300, Moree Plains,13590
15350, Mosman,30215
15520, Murray River,11887
15560, Murrumbidgee,3933
15650, Muswellbrook,16468
15700, Nambucca,19521
15750, Narrabri,13481
15800, Narrandera,5976
15850, Narromine,6599
15900, Newcastle,160919
15950, North Sydney,72037
15990, Northern Beaches,266344
16100, Oberon,5399
16150, Orange,41384
16200, Parkes,14946
16260, Parramatta,234968
16350, Penrith,201400
11300, Burwood,38495
11350, Byron,32790
11400, Cabonne,13625
11450, Camden,80476
11500, Campbelltown,161409
11520, Canada Bay,92382
11570, Canterbury-Bankstown,361551
11600, Carrathool,2803
11650, Central Coast,335309
11700, Central Darling,1875
11720, Cessnock,56762
11730, Clarence Valley,51367
11750, Cobar,4764
11800, Coffs Harbour,74641
12000, Coolamon,4403
12150, Coonamble,4082
12350, Cowra,12673
12380, Cumberland,226051
12700, Dungog,9114
12730, Edward River,8951
12750, Eurobodalla,37968
12850, Fairfield,206436
12870, Federation,12411
12900, Forbes,9808
12930, Georges River,153452
12950, Gilgandra,4309
13010, Glen Innes Severn,8942
13310, Goulburn Mulwaree,30150
13340, Greater Hume Shire,10509
13450, Griffith,26422
13510, Gundagai,11286
13550, Gunnedah,12551
13660, Gwydir,5326
13800, Hawkesbury,66136
13850, Hay,2975
16380, Port Macquarie-Hastings,79905
16400, Port Stephens,71118
16490, Queanbeyan-Palerang Regional,58128
16550, Randwick,149276
16610, Richmond Valley,23164
16650, Rockdale,115822
16700, Ryde,121807
16900, Shellharbour,70511
16950, Shoalhaven,101777
17000, Singleton,23595
17040, Snowy Monaro Regional,20617
17080, Snowy Valleys,14644
17420, The Hills Shire,162539
17550, Tweed,93458
17620, Upper Hunter Shire,14409
17640, Upper Lachlan Shire,7841
17650, Uralla,6159
17750, Wagga Wagga,64085
17850, Walcha,3144
17900, Walgett,6369
17950, Warren,2802
18020, Warrumbungle Shire,9541
18050, Waverley,72106
18100, Weddin,3692
18200, Wentworth,6920
18230, Western Plains Regional,51429
18250, Willoughby,78017
18350, Wingecarribee,49070
18400, Wollondilly,49742
18450, Wollongong,211201
18500, Woollahra,58290
18710, Yass Valley,16628
19399, Unincorporated NSW,1108
17350, Temora,6236
17400, Tenterfield,6667
17100, Strathfield,42331
17150, Sutherland Shire,226041
17200, Sydney,224211
17310, Tamworth Regional,60998
