 lga_name16,median_aud_2013_14, median_aud_2014_15
Alpine (S),34097,36225
Ararat (RC),37695,38901
Ballarat (C),42225,43308
Banyule (C),49140,51048
Bass Coast (S),34527,35820
Baw Baw (S),41250,42380
Bayside (C),52065,53926
Benalla (RC),38668,39036
Boroondara (C),50705,52344
Brimbank (C),41949,42685
Buloke (S),31025,32517
Campaspe (S),38704,39999
Cardinia (S),44326,45677
Casey (C),44960,46064
Central Goldfields (S),35669,37112
Colac-Otway (S),37581,38025
Corangamite (S),35363,37036
Darebin (C),45324,46843
East Gippsland (S),35897,37105
Frankston (C),44423,45776
Gannawarra (S),34985,36286
Greater Shepparton (C),38932,40389
Hepburn (S),38077,40058
Hindmarsh (S),37178,38572
Hobsons Bay (C),50650,52207
Horsham (RC),38995,40681
Hume (C),43561,44581
Indigo (S),42650,44409
Kingston (C) (Vic.),48074,49561
Knox (C),45870,47072
Latrobe (C) (Vic.),43880,45381
Loddon (S),33598,34960
Macedon Ranges (S),46378,48316
Manningham (C),44926,45855
Mansfield (S),32891,34273
Maribyrnong (C),46329,47906
Maroondah (C),46483,47967
Melbourne (C),39610,40234
Melton (C),47326,48251
Mildura (RC),36835,38259
Mitchell (S),44826,46289
Moira (S),37336,38444
Monash (C),44337,45643
Moonee Valley (C),50199,51940
Moorabool (S),46453,47528
Moreland (C),45937,47618
Mornington Peninsula (S),40500,42100
Golden Plains (S),44357,45412
Greater Bendigo (C),41715,43031
Greater Dandenong (C),38900,40000
Greater Geelong (C),42999,43827
Mount Alexander (S),39186,39616
Moyne (S),36306,38066
Murrindindi (S),38132,39100
Nillumbik (S),47923,49518
Northern Grampians (S),38230,38700
Port Phillip (C),54368,56200
Pyrenees (S),35954,36693
Queenscliffe (B),40353,40108
South Gippsland (S),36973,38051
Southern Grampians (S),36461,37999
Stonnington (C),52085,54213
Strathbogie (S),38443,39546
Surf Coast (S),41256,42657
Swan Hill (RC),35479,36495
Towong (S),38347,38612
Wangaratta (RC),39520,41239
Warrnambool (C),39520,39642
Wellington (S),41338,42429
Glen Eira (C),48947,50569
Glenelg (S),39506,40816
West Wimmera (S),32287,33442
Whitehorse (C),45781,46560
Whittlesea (C),44841,45736
Wodonga (C),44783,46018
Wyndham (C),48110,49188
Yarra (C),52674,54694
Yarra Ranges (S),43354,44877
Yarriambiack (S),33495,33673
Unincorporated Vic,15150,14907
